idx,mod idx,op,name,target,args
1,,placeholder,input_ids,input_ids,(
2,0,call_module,model_embed_tokens,model.embed_tokens,(%input_ids
3,,call_method,size,size,(%model_embed_tokens
4,,call_function,getitem,<built-in function getitem>,"(%size, 1"
5,,call_function,add,<built-in function add>,"(0, %getitem"
6,,call_function,getattr_1,<built-in function getattr>,"(%model_embed_tokens, device"
7,,call_function,arange,<built-in method arange of type object at 0x7f6ca205f240>,"(0, %add"
8,,call_method,unsqueeze,unsqueeze,"(%arange, 0"
9,,call_method,size_1,size,(%model_embed_tokens
10,,call_function,getitem_1,<built-in function getitem>,"(%size_1, 0"
11,,call_method,size_2,size,(%model_embed_tokens
12,,call_function,getitem_2,<built-in function getitem>,"(%size_2, 1"
13,,call_function,add_1,<built-in function add>,"(%getitem_2, 0"
14,,call_function,eq_1,<built-in function eq>,"(%getitem_2, 1"
15,,call_function,eq_2,<built-in function eq>,"(%add_1, %getitem_2"
16,,get_attr,model_rotary_emb_inv_freq,model.rotary_emb.inv_freq,(
17,,call_function,getitem_3,<built-in function getitem>,"(%model_rotary_emb_inv_freq, (None, slice(None, None, None)"
18,,call_method,float_1,float,(%getitem_3
19,,call_method,size_3,size,(%unsqueeze
20,,call_function,getitem_4,<built-in function getitem>,"(%size_3, 0"
21,,call_method,expand,expand,"(%float_1, %getitem_4, -1, 1"
22,,call_function,getitem_5,<built-in function getitem>,"(%unsqueeze, (slice(None, None, None), None"
23,,call_method,float_2,float,(%getitem_5
24,,call_method,float_3,float,(%expand
25,,call_method,float_4,float,(%float_2
26,,call_function,matmul,<built-in function matmul>,"(%float_3, %float_4"
27,,call_method,transpose,transpose,"(%matmul, 1, 2"
28,,call_function,cat,<built-in method cat of type object at 0x7f6ca205f240>,"((transpose, transpose)"
29,,call_method,cos,cos,(%cat
30,,call_method,sin,sin,(%cat
31,,call_function,mul,<built-in function mul>,"(%cos, 1.0"
32,,call_function,mul_1,<built-in function mul>,"(%sin, 1.0"
33,,call_function,getattr_2,<built-in function getattr>,"(%model_embed_tokens, dtype"
34,,call_method,to,to,(%mul
35,,call_function,getattr_3,<built-in function getattr>,"(%model_embed_tokens, dtype"
36,,call_method,to_1,to,(%mul_1
37,,call_method,to_2,to,"(%model_embed_tokens, torch.float32"
38,,call_method,pow_1,pow,"(%to_2, 2"
39,,call_method,mean,mean,"(%pow_1, -1"
40,,call_function,add_2,<built-in function add>,"(%mean, 1e-05"
41,,call_function,rsqrt,<built-in method rsqrt of type object at 0x7f6ca205f240>,(%add_2
42,,call_function,mul_2,<built-in function mul>,"(%to_2, %rsqrt"
43,,get_attr,model_layers_0_input_layernorm_weight,model.layers.0.input_layernorm.weight,(
44,,call_function,getattr_4,<built-in function getattr>,"(%model_embed_tokens, dtype"
45,,call_method,to_3,to,"(%mul_2, %getattr_4"
46,,call_function,mul_3,<built-in function mul>,"(%model_layers_0_input_layernorm_weight, %to_3"
47,,call_method,size_4,size,(%mul_3
48,,call_function,getitem_6,<built-in function getitem>,"(%size_4, 0"
49,,call_function,getitem_7,<built-in function getitem>,"(%size_4, 1"
50,,call_function,getitem_8,<built-in function getitem>,"(%size_4, 2"
51,1,call_module,model_layers_0_self_attn_q_proj,model.layers.0.self_attn.q_proj,(%mul_3
52,2,call_module,model_layers_0_self_attn_k_proj,model.layers.0.self_attn.k_proj,(%mul_3
53,3,call_module,model_layers_0_self_attn_v_proj,model.layers.0.self_attn.v_proj,(%mul_3
54,,call_method,view,view,"(%model_layers_0_self_attn_q_proj, %getitem_6, %getitem_7, 32, 64"
55,,call_method,transpose_1,transpose,"(%view, 1, 2"
56,,call_method,view_1,view,"(%model_layers_0_self_attn_k_proj, %getitem_6, %getitem_7, 8, 64"
57,,call_method,transpose_2,transpose,"(%view_1, 1, 2"
58,,call_method,view_2,view,"(%model_layers_0_self_attn_v_proj, %getitem_6, %getitem_7, 8, 64"
59,,call_method,transpose_3,transpose,"(%view_2, 1, 2"
60,,call_method,unsqueeze_1,unsqueeze,"(%to, 1"
61,,call_method,unsqueeze_2,unsqueeze,"(%to_1, 1"
62,,call_function,mul_4,<built-in function mul>,"(%transpose_1, %unsqueeze_1"
63,,call_method,size_5,size,(%transpose_1
64,,call_function,getitem_9,<built-in function getitem>,"(%size_5, -1"
65,,call_function,floordiv,<built-in function floordiv>,"(%getitem_9, 2"
66,,call_function,getitem_10,<built-in function getitem>,"(%transpose_1, (Ellipsis, slice(None, floordi"
67,,call_method,size_6,size,(%transpose_1
68,,call_function,getitem_11,<built-in function getitem>,"(%size_6, -1"
69,,call_function,floordiv_1,<built-in function floordiv>,"(%getitem_11, 2"
70,,call_function,getitem_12,<built-in function getitem>,"(%transpose_1, (Ellipsis, slice(floordiv_1, N"
71,,call_function,neg,<built-in function neg>,(%getitem_12
72,,call_function,cat_1,<built-in method cat of type object at 0x7f6ca205f240>,"((neg, getitem_10)"
73,,call_function,mul_5,<built-in function mul>,"(%cat_1, %unsqueeze_2"
74,,call_function,add_3,<built-in function add>,"(%mul_4, %mul_5"
75,,call_function,mul_6,<built-in function mul>,"(%transpose_2, %unsqueeze_1"
76,,call_method,size_7,size,(%transpose_2
77,,call_function,getitem_13,<built-in function getitem>,"(%size_7, -1"
78,,call_function,floordiv_2,<built-in function floordiv>,"(%getitem_13, 2"
79,,call_function,getitem_14,<built-in function getitem>,"(%transpose_2, (Ellipsis, slice(None, floordi"
80,,call_method,size_8,size,(%transpose_2
81,,call_function,getitem_15,<built-in function getitem>,"(%size_8, -1"
82,,call_function,floordiv_3,<built-in function floordiv>,"(%getitem_15, 2"
83,,call_function,getitem_16,<built-in function getitem>,"(%transpose_2, (Ellipsis, slice(floordiv_3, N"
84,,call_function,neg_1,<built-in function neg>,(%getitem_16
85,,call_function,cat_2,<built-in method cat of type object at 0x7f6ca205f240>,"((neg_1, getitem_14)"
86,,call_function,mul_7,<built-in function mul>,"(%cat_2, %unsqueeze_2"
87,,call_function,add_4,<built-in function add>,"(%mul_6, %mul_7"
88,,call_method,size_9,size,(%add_4
89,,call_function,getitem_17,<built-in function getitem>,"(%size_9, 0"
90,,call_function,getitem_18,<built-in function getitem>,"(%size_9, 1"
91,,call_function,getitem_19,<built-in function getitem>,"(%size_9, 2"
92,,call_function,getitem_20,<built-in function getitem>,"(%size_9, 3"
93,,call_function,getitem_21,<built-in function getitem>,"(%add_4, (slice(None, None, None), slic"
94,,call_method,expand_1,expand,"(%getitem_21, %getitem_17, %getitem_18, 4, %getitem_19, %getitem_20"
95,,call_function,mul_8,<built-in function mul>,"(%getitem_18, 4"
96,,call_method,reshape,reshape,"(%expand_1, %getitem_17, %mul_8, %getitem_19, %getitem_20"
97,,call_method,size_10,size,(%transpose_3
98,,call_function,getitem_22,<built-in function getitem>,"(%size_10, 0"
99,,call_function,getitem_23,<built-in function getitem>,"(%size_10, 1"
100,,call_function,getitem_24,<built-in function getitem>,"(%size_10, 2"
101,,call_function,getitem_25,<built-in function getitem>,"(%size_10, 3"
102,,call_function,getitem_26,<built-in function getitem>,"(%transpose_3, (slice(None, None, None), slic"
103,,call_method,expand_2,expand,"(%getitem_26, %getitem_22, %getitem_23, 4, %getitem_24, %getitem_25"
104,,call_function,mul_9,<built-in function mul>,"(%getitem_23, 4"
105,,call_method,reshape_1,reshape,"(%expand_2, %getitem_22, %mul_9, %getitem_24, %getitem_25"
106,,call_function,getattr_5,<built-in function getattr>,"(%add_3, device"
107,,call_function,getattr_6,<built-in function getattr>,"(%getattr_5, type"
108,,call_function,eq_3,<built-in function eq>,"(%getattr_6, cuda"
109,,call_function,gt,<built-in function gt>,"(%getitem_7, 1"
110,,call_function,scaled_dot_product_attention,<built-in function scaled_dot_product_attention>,"(%add_3, %reshape, %reshape_1"
111,,call_method,transpose_4,transpose,"(%scaled_dot_product_attention, 1, 2"
112,,call_method,contiguous,contiguous,(%transpose_4
113,,call_method,view_3,view,"(%contiguous, %getitem_6, %getitem_7, -1"
114,4,call_module,model_layers_0_self_attn_o_proj,model.layers.0.self_attn.o_proj,(%view_3
115,,call_function,add_5,<built-in function add>,"(%model_embed_tokens, %model_layers_0_self_attn_o_proj"
116,,call_method,to_4,to,"(%add_5, torch.float32"
117,,call_method,pow_2,pow,"(%to_4, 2"
118,,call_method,mean_1,mean,"(%pow_2, -1"
119,,call_function,add_6,<built-in function add>,"(%mean_1, 1e-05"
120,,call_function,rsqrt_1,<built-in method rsqrt of type object at 0x7f6ca205f240>,(%add_6
121,,call_function,mul_10,<built-in function mul>,"(%to_4, %rsqrt_1"
122,,get_attr,model_layers_0_post_attention_layernorm_weight,model.layers.0.post_attention_layernorm.weight,(
123,,call_function,getattr_7,<built-in function getattr>,"(%add_5, dtype"
124,,call_method,to_5,to,"(%mul_10, %getattr_7"
125,,call_function,mul_11,<built-in function mul>,"(%model_layers_0_post_attention_layernorm_weight, %to_5"
126,5,call_module,model_layers_0_mlp_gate_proj,model.layers.0.mlp.gate_proj,(%mul_11
127,6,call_module,model_layers_0_mlp_act_fn,model.layers.0.mlp.act_fn,(%model_layers_0_mlp_gate_proj
128,7,call_module,model_layers_0_mlp_up_proj,model.layers.0.mlp.up_proj,(%mul_11
129,,call_function,mul_12,<built-in function mul>,"(%model_layers_0_mlp_act_fn, %model_layers_0_mlp_up_proj"
130,8,call_module,model_layers_0_mlp_down_proj,model.layers.0.mlp.down_proj,(%mul_12
131,,call_function,add_7,<built-in function add>,"(%add_5, %model_layers_0_mlp_down_proj"
132,,call_method,to_6,to,"(%add_7, torch.float32"
133,,call_method,pow_3,pow,"(%to_6, 2"
134,,call_method,mean_2,mean,"(%pow_3, -1"
135,,call_function,add_8,<built-in function add>,"(%mean_2, 1e-05"
136,,call_function,rsqrt_2,<built-in method rsqrt of type object at 0x7f6ca205f240>,(%add_8
137,,call_function,mul_13,<built-in function mul>,"(%to_6, %rsqrt_2"
138,,get_attr,model_layers_1_input_layernorm_weight,model.layers.1.input_layernorm.weight,(
139,,call_function,getattr_8,<built-in function getattr>,"(%add_7, dtype"
140,,call_method,to_7,to,"(%mul_13, %getattr_8"
141,,call_function,mul_14,<built-in function mul>,"(%model_layers_1_input_layernorm_weight, %to_7"
142,,call_method,size_11,size,(%mul_14
143,,call_function,getitem_27,<built-in function getitem>,"(%size_11, 0"
144,,call_function,getitem_28,<built-in function getitem>,"(%size_11, 1"
145,,call_function,getitem_29,<built-in function getitem>,"(%size_11, 2"
146,9,call_module,model_layers_1_self_attn_q_proj,model.layers.1.self_attn.q_proj,(%mul_14
147,10,call_module,model_layers_1_self_attn_k_proj,model.layers.1.self_attn.k_proj,(%mul_14
148,11,call_module,model_layers_1_self_attn_v_proj,model.layers.1.self_attn.v_proj,(%mul_14
149,,call_method,view_4,view,"(%model_layers_1_self_attn_q_proj, %getitem_27, %getitem_28, 32, 64"
150,,call_method,transpose_5,transpose,"(%view_4, 1, 2"
151,,call_method,view_5,view,"(%model_layers_1_self_attn_k_proj, %getitem_27, %getitem_28, 8, 64"
152,,call_method,transpose_6,transpose,"(%view_5, 1, 2"
153,,call_method,view_6,view,"(%model_layers_1_self_attn_v_proj, %getitem_27, %getitem_28, 8, 64"
154,,call_method,transpose_7,transpose,"(%view_6, 1, 2"
155,,call_method,unsqueeze_3,unsqueeze,"(%to, 1"
156,,call_method,unsqueeze_4,unsqueeze,"(%to_1, 1"
157,,call_function,mul_15,<built-in function mul>,"(%transpose_5, %unsqueeze_3"
158,,call_method,size_12,size,(%transpose_5
159,,call_function,getitem_30,<built-in function getitem>,"(%size_12, -1"
160,,call_function,floordiv_4,<built-in function floordiv>,"(%getitem_30, 2"
161,,call_function,getitem_31,<built-in function getitem>,"(%transpose_5, (Ellipsis, slice(None, floordi"
162,,call_method,size_13,size,(%transpose_5
163,,call_function,getitem_32,<built-in function getitem>,"(%size_13, -1"
164,,call_function,floordiv_5,<built-in function floordiv>,"(%getitem_32, 2"
165,,call_function,getitem_33,<built-in function getitem>,"(%transpose_5, (Ellipsis, slice(floordiv_5, N"
166,,call_function,neg_2,<built-in function neg>,(%getitem_33
167,,call_function,cat_3,<built-in method cat of type object at 0x7f6ca205f240>,"((neg_2, getitem_31)"
168,,call_function,mul_16,<built-in function mul>,"(%cat_3, %unsqueeze_4"
169,,call_function,add_9,<built-in function add>,"(%mul_15, %mul_16"
170,,call_function,mul_17,<built-in function mul>,"(%transpose_6, %unsqueeze_3"
171,,call_method,size_14,size,(%transpose_6
172,,call_function,getitem_34,<built-in function getitem>,"(%size_14, -1"
173,,call_function,floordiv_6,<built-in function floordiv>,"(%getitem_34, 2"
174,,call_function,getitem_35,<built-in function getitem>,"(%transpose_6, (Ellipsis, slice(None, floordi"
175,,call_method,size_15,size,(%transpose_6
176,,call_function,getitem_36,<built-in function getitem>,"(%size_15, -1"
177,,call_function,floordiv_7,<built-in function floordiv>,"(%getitem_36, 2"
178,,call_function,getitem_37,<built-in function getitem>,"(%transpose_6, (Ellipsis, slice(floordiv_7, N"
179,,call_function,neg_3,<built-in function neg>,(%getitem_37
180,,call_function,cat_4,<built-in method cat of type object at 0x7f6ca205f240>,"((neg_3, getitem_35)"
181,,call_function,mul_18,<built-in function mul>,"(%cat_4, %unsqueeze_4"
182,,call_function,add_10,<built-in function add>,"(%mul_17, %mul_18"
183,,call_method,size_16,size,(%add_10
184,,call_function,getitem_38,<built-in function getitem>,"(%size_16, 0"
185,,call_function,getitem_39,<built-in function getitem>,"(%size_16, 1"
186,,call_function,getitem_40,<built-in function getitem>,"(%size_16, 2"
187,,call_function,getitem_41,<built-in function getitem>,"(%size_16, 3"
188,,call_function,getitem_42,<built-in function getitem>,"(%add_10, (slice(None, None, None), slic"
189,,call_method,expand_3,expand,"(%getitem_42, %getitem_38, %getitem_39, 4, %getitem_40, %getitem_41"
190,,call_function,mul_19,<built-in function mul>,"(%getitem_39, 4"
191,,call_method,reshape_2,reshape,"(%expand_3, %getitem_38, %mul_19, %getitem_40, %getitem_41"
192,,call_method,size_17,size,(%transpose_7
193,,call_function,getitem_43,<built-in function getitem>,"(%size_17, 0"
194,,call_function,getitem_44,<built-in function getitem>,"(%size_17, 1"
195,,call_function,getitem_45,<built-in function getitem>,"(%size_17, 2"
196,,call_function,getitem_46,<built-in function getitem>,"(%size_17, 3"
197,,call_function,getitem_47,<built-in function getitem>,"(%transpose_7, (slice(None, None, None), slic"
198,,call_method,expand_4,expand,"(%getitem_47, %getitem_43, %getitem_44, 4, %getitem_45, %getitem_46"
199,,call_function,mul_20,<built-in function mul>,"(%getitem_44, 4"
200,,call_method,reshape_3,reshape,"(%expand_4, %getitem_43, %mul_20, %getitem_45, %getitem_46"
201,,call_function,getattr_9,<built-in function getattr>,"(%add_9, device"
202,,call_function,getattr_10,<built-in function getattr>,"(%getattr_9, type"
203,,call_function,eq_4,<built-in function eq>,"(%getattr_10, cuda"
204,,call_function,gt_1,<built-in function gt>,"(%getitem_28, 1"
205,,call_function,scaled_dot_product_attention_1,<built-in function scaled_dot_product_attention>,"(%add_9, %reshape_2, %reshape_3"
206,,call_method,transpose_8,transpose,"(%scaled_dot_product_attention_1, 1, 2"
207,,call_method,contiguous_1,contiguous,(%transpose_8
208,,call_method,view_7,view,"(%contiguous_1, %getitem_27, %getitem_28, -1"
209,12,call_module,model_layers_1_self_attn_o_proj,model.layers.1.self_attn.o_proj,(%view_7
210,,call_function,add_11,<built-in function add>,"(%add_7, %model_layers_1_self_attn_o_proj"
211,,call_method,to_8,to,"(%add_11, torch.float32"
212,,call_method,pow_4,pow,"(%to_8, 2"
213,,call_method,mean_3,mean,"(%pow_4, -1"
214,,call_function,add_12,<built-in function add>,"(%mean_3, 1e-05"
215,,call_function,rsqrt_3,<built-in method rsqrt of type object at 0x7f6ca205f240>,(%add_12
216,,call_function,mul_21,<built-in function mul>,"(%to_8, %rsqrt_3"
217,,get_attr,model_layers_1_post_attention_layernorm_weight,model.layers.1.post_attention_layernorm.weight,(
218,,call_function,getattr_11,<built-in function getattr>,"(%add_11, dtype"
219,,call_method,to_9,to,"(%mul_21, %getattr_11"
220,,call_function,mul_22,<built-in function mul>,"(%model_layers_1_post_attention_layernorm_weight, %to_9"
221,13,call_module,model_layers_1_mlp_gate_proj,model.layers.1.mlp.gate_proj,(%mul_22
222,14,call_module,model_layers_1_mlp_act_fn,model.layers.1.mlp.act_fn,(%model_layers_1_mlp_gate_proj
223,15,call_module,model_layers_1_mlp_up_proj,model.layers.1.mlp.up_proj,(%mul_22
224,,call_function,mul_23,<built-in function mul>,"(%model_layers_1_mlp_act_fn, %model_layers_1_mlp_up_proj"
225,16,call_module,model_layers_1_mlp_down_proj,model.layers.1.mlp.down_proj,(%mul_23
226,,call_function,add_13,<built-in function add>,"(%add_11, %model_layers_1_mlp_down_proj"
227,,call_method,to_10,to,"(%add_13, torch.float32"
228,,call_method,pow_5,pow,"(%to_10, 2"
229,,call_method,mean_4,mean,"(%pow_5, -1"
230,,call_function,add_14,<built-in function add>,"(%mean_4, 1e-05"
231,,call_function,rsqrt_4,<built-in method rsqrt of type object at 0x7f6ca205f240>,(%add_14
232,,call_function,mul_24,<built-in function mul>,"(%to_10, %rsqrt_4"
233,,get_attr,model_layers_2_input_layernorm_weight,model.layers.2.input_layernorm.weight,(
234,,call_function,getattr_12,<built-in function getattr>,"(%add_13, dtype"
235,,call_method,to_11,to,"(%mul_24, %getattr_12"
236,,call_function,mul_25,<built-in function mul>,"(%model_layers_2_input_layernorm_weight, %to_11"
237,,call_method,size_18,size,(%mul_25
238,,call_function,getitem_48,<built-in function getitem>,"(%size_18, 0"
239,,call_function,getitem_49,<built-in function getitem>,"(%size_18, 1"
240,,call_function,getitem_50,<built-in function getitem>,"(%size_18, 2"
241,17,call_module,model_layers_2_self_attn_q_proj,model.layers.2.self_attn.q_proj,(%mul_25
242,18,call_module,model_layers_2_self_attn_k_proj,model.layers.2.self_attn.k_proj,(%mul_25
243,19,call_module,model_layers_2_self_attn_v_proj,model.layers.2.self_attn.v_proj,(%mul_25
244,,call_method,view_8,view,"(%model_layers_2_self_attn_q_proj, %getitem_48, %getitem_49, 32, 64"
245,,call_method,transpose_9,transpose,"(%view_8, 1, 2"
246,,call_method,view_9,view,"(%model_layers_2_self_attn_k_proj, %getitem_48, %getitem_49, 8, 64"
247,,call_method,transpose_10,transpose,"(%view_9, 1, 2"
248,,call_method,view_10,view,"(%model_layers_2_self_attn_v_proj, %getitem_48, %getitem_49, 8, 64"
249,,call_method,transpose_11,transpose,"(%view_10, 1, 2"
250,,call_method,unsqueeze_5,unsqueeze,"(%to, 1"
251,,call_method,unsqueeze_6,unsqueeze,"(%to_1, 1"
252,,call_function,mul_26,<built-in function mul>,"(%transpose_9, %unsqueeze_5"
253,,call_method,size_19,size,(%transpose_9
254,,call_function,getitem_51,<built-in function getitem>,"(%size_19, -1"
255,,call_function,floordiv_8,<built-in function floordiv>,"(%getitem_51, 2"
256,,call_function,getitem_52,<built-in function getitem>,"(%transpose_9, (Ellipsis, slice(None, floordi"
257,,call_method,size_20,size,(%transpose_9
258,,call_function,getitem_53,<built-in function getitem>,"(%size_20, -1"
259,,call_function,floordiv_9,<built-in function floordiv>,"(%getitem_53, 2"
260,,call_function,getitem_54,<built-in function getitem>,"(%transpose_9, (Ellipsis, slice(floordiv_9, N"
261,,call_function,neg_4,<built-in function neg>,(%getitem_54
262,,call_function,cat_5,<built-in method cat of type object at 0x7f6ca205f240>,"((neg_4, getitem_52)"
263,,call_function,mul_27,<built-in function mul>,"(%cat_5, %unsqueeze_6"
264,,call_function,add_15,<built-in function add>,"(%mul_26, %mul_27"
265,,call_function,mul_28,<built-in function mul>,"(%transpose_10, %unsqueeze_5"
266,,call_method,size_21,size,(%transpose_10
267,,call_function,getitem_55,<built-in function getitem>,"(%size_21, -1"
268,,call_function,floordiv_10,<built-in function floordiv>,"(%getitem_55, 2"
269,,call_function,getitem_56,<built-in function getitem>,"(%transpose_10, (Ellipsis, slice(None, floordi"
270,,call_method,size_22,size,(%transpose_10
