Section,Key,Mean_ms
module_avg,self_attn_q_proj,2.260975
module_avg,self_attn_k_proj,0.10285
module_avg,self_attn_v_proj,0.0658125
module_avg,self_attn_o_proj,1.0412375
module_avg,mlp_gate_proj,0.5844875
module_avg,mlp_up_proj,0.2989625
module_avg,mlp_down_proj,0.2840625
module_avg,mlp_act_fn,0.05025
layer_sum,model_layers_0,5.3975
layer_sum,model_layers_1,5.0832999999999995
layer_sum,model_layers_2,5.0837
layer_sum,model_layers_3,4.4053
layer_sum,model_layers_4,4.6610000000000005
layer_sum,model_layers_5,4.6095
layer_sum,model_layers_6,4.2807
layer_sum,model_layers_7,3.9880999999999998
layer_sum_avg,model_layer,4.6886375000000005
